x,y
-0.022770712,0.10226329
0.5950817,0.78521985
-0.8758456,0.9494758
0.5961891,-0.24488688
-0.7385563,-0.7368519
0.21226652,0.78962314
-0.7540328,-0.64409506
-0.091607116,-0.7680012
-0.49488834,-0.6659276
0.2872001,-0.25031272
-4.022771,-3.8977368
-3.4049182,-3.21478
-4.8758454,-3.0505242
-3.403811,-4.244887
-4.7385564,-4.7368517
-3.7877336,-3.2103767
-4.7540326,-4.644095
-4.091607,-4.768001
-4.4948883,-4.6659274
-3.7128,-4.250313
-4.022771,-1.8977367
-3.4049182,-1.2147801
-4.8758454,-1.0505242
-3.403811,-2.2448869
-4.7385564,-2.736852
-3.7877336,-1.2103769
-4.7540326,-2.644095
-4.091607,-2.768001
-4.4948883,-2.6659276
-3.7128,-2.2503128
-4.022771,0.10226329
-3.4049182,0.78521985
-4.8758454,0.9494758
-3.403811,-0.24488688
-4.7385564,-0.7368519
-3.7877336,0.78962314
-4.7540326,-0.64409506
-4.091607,-0.7680012
-4.4948883,-0.6659276
-3.7128,-0.25031272
-4.022771,2.1022632
-3.4049182,2.78522
-4.8758454,2.9494758
-3.403811,1.7551131
-4.7385564,1.2631481
-3.7877336,2.7896233
-4.7540326,1.3559049
-4.091607,1.2319988
-4.4948883,1.3340724
-3.7128,1.7496873
-4.022771,4.1022635
-3.4049182,4.7852197
-4.8758454,4.949476
-3.403811,3.7551131
-4.7385564,3.263148
-3.7877336,4.7896233
-4.7540326,3.355905
-4.091607,3.231999
-4.4948883,3.3340724
-3.7128,3.7496872
-2.0227706,-3.8977368
-1.4049183,-3.21478
-2.8758457,-3.0505242
-1.403811,-4.244887
-2.7385564,-4.7368517
-1.7877334,-3.2103767
-2.7540329,-4.644095
-2.091607,-4.768001
-2.4948883,-4.6659274
-1.7127999,-4.250313
-2.0227706,-1.8977367
-1.4049183,-1.2147801
-2.8758457,-1.0505242
-1.403811,-2.2448869
-2.7385564,-2.736852
-1.7877334,-1.2103769
-2.7540329,-2.644095
-2.091607,-2.768001
-2.4948883,-2.6659276
-1.7127999,-2.2503128
-2.0227706,0.10226329
-1.4049183,0.78521985
-2.8758457,0.9494758
-1.403811,-0.24488688
-2.7385564,-0.7368519
-1.7877334,0.78962314
-2.7540329,-0.64409506
-2.091607,-0.7680012
-2.4948883,-0.6659276
-1.7127999,-0.25031272
-2.0227706,2.1022632
-1.4049183,2.78522
-2.8758457,2.9494758
-1.403811,1.7551131
-2.7385564,1.2631481
-1.7877334,2.7896233
-2.7540329,1.3559049
-2.091607,1.2319988
-2.4948883,1.3340724
-1.7127999,1.7496873
-2.0227706,4.1022635
-1.4049183,4.7852197
-2.8758457,4.949476
-1.403811,3.7551131
-2.7385564,3.263148
-1.7877334,4.7896233
-2.7540329,3.355905
-2.091607,3.231999
-2.4948883,3.3340724
-1.7127999,3.7496872
-0.022770712,-3.8977368
0.5950817,-3.21478
-0.8758456,-3.0505242
0.5961891,-4.244887
-0.7385563,-4.7368517
0.21226652,-3.2103767
-0.7540328,-4.644095
-0.091607116,-4.768001
-0.49488834,-4.6659274
0.2872001,-4.250313
-0.022770712,-1.8977367
0.5950817,-1.2147801
-0.8758456,-1.0505242
0.5961891,-2.2448869
-0.7385563,-2.736852
0.21226652,-1.2103769
-0.7540328,-2.644095
-0.091607116,-2.768001
-0.49488834,-2.6659276
0.2872001,-2.2503128
-0.022770712,2.1022632
0.5950817,2.78522
-0.8758456,2.9494758
0.5961891,1.7551131
-0.7385563,1.2631481
0.21226652,2.7896233
-0.7540328,1.3559049
-0.091607116,1.2319988
-0.49488834,1.3340724
0.2872001,1.7496873
-0.022770712,4.1022635
0.5950817,4.7852197
-0.8758456,4.949476
0.5961891,3.7551131
-0.7385563,3.263148
0.21226652,4.7896233
-0.7540328,3.355905
-0.091607116,3.231999
-0.49488834,3.3340724
0.2872001,3.7496872
1.9772292,-3.8977368
2.5950818,-3.21478
1.1241543,-3.0505242
2.596189,-4.244887
1.2614436,-4.7368517
2.2122664,-3.2103767
1.2459671,-4.644095
1.9083929,-4.768001
1.5051117,-4.6659274
2.2872,-4.250313
1.9772292,-1.8977367
2.5950818,-1.2147801
1.1241543,-1.0505242
2.596189,-2.2448869
1.2614436,-2.736852
2.2122664,-1.2103769
1.2459671,-2.644095
1.9083929,-2.768001
1.5051117,-2.6659276
2.2872,-2.2503128
1.9772292,0.10226329
2.5950818,0.78521985
1.1241543,0.9494758
2.596189,-0.24488688
1.2614436,-0.7368519
2.2122664,0.78962314
1.2459671,-0.64409506
1.9083929,-0.7680012
1.5051117,-0.6659276
2.2872,-0.25031272
1.9772292,2.1022632
2.5950818,2.78522
1.1241543,2.9494758
2.596189,1.7551131
1.2614436,1.2631481
2.2122664,2.7896233
1.2459671,1.3559049
1.9083929,1.2319988
1.5051117,1.3340724
2.2872,1.7496873
1.9772292,4.1022635
2.5950818,4.7852197
1.1241543,4.949476
2.596189,3.7551131
1.2614436,3.263148
2.2122664,4.7896233
1.2459671,3.355905
1.9083929,3.231999
1.5051117,3.3340724
2.2872,3.7496872
3.9772294,-3.8977368
4.595082,-3.21478
3.1241543,-3.0505242
4.596189,-4.244887
3.2614436,-4.7368517
4.2122664,-3.2103767
3.2459671,-4.644095
3.908393,-4.768001
3.5051117,-4.6659274
4.2872,-4.250313
3.9772294,-1.8977367
4.595082,-1.2147801
3.1241543,-1.0505242
4.596189,-2.2448869
3.2614436,-2.736852
4.2122664,-1.2103769
3.2459671,-2.644095
3.908393,-2.768001
3.5051117,-2.6659276
4.2872,-2.2503128
3.9772294,0.10226329
4.595082,0.78521985
3.1241543,0.9494758
4.596189,-0.24488688
3.2614436,-0.7368519
4.2122664,0.78962314
3.2459671,-0.64409506
3.908393,-0.7680012
3.5051117,-0.6659276
4.2872,-0.25031272
3.9772294,2.1022632
4.595082,2.78522
3.1241543,2.9494758
4.596189,1.7551131
3.2614436,1.2631481
4.2122664,2.7896233
3.2459671,1.3559049
3.908393,1.2319988
3.5051117,1.3340724
4.2872,1.7496873
3.9772294,4.1022635
4.595082,4.7852197
3.1241543,4.949476
4.596189,3.7551131
3.2614436,3.263148
4.2122664,4.7896233
3.2459671,3.355905
3.908393,3.231999
3.5051117,3.3340724
4.2872,3.7496872
