step,site_index,x,y,is_removed,x_max,x_min,y_max,y_min
0,0,-0.7367715821466885,-0.6051217521473051,0,7,-7,7,-7
0,1,0.7949234027510488,-0.7267166934375648,0,7,-7,7,-7
0,2,-0.5586420769991569,0.9217544270144302,0,7,-7,7,-7
0,3,0.6851139248663731,0.20236769598911564,0,7,-7,7,-7
0,4,-0.9186217303756539,-0.3134303305908652,0,7,-7,7,-7
0,5,0.8534023178063277,0.1263293655556128,0,7,-7,7,-7
0,6,-0.8006955580475983,0.9850599275047947,0,7,-7,7,-7
0,7,-0.019479992342068098,-0.59780805031872,0,7,-7,7,-7
0,8,-0.2937467601814645,-0.8324132399333419,0,7,-7,7,-7
0,9,-0.5265847185002641,0.4170399769141495,0,7,-7,7,-7
0,10,-4.736771582146688,-4.605121752147305,0,7,-7,7,-7
0,11,-3.205076597248951,-4.726716693437565,0,7,-7,7,-7
0,12,-4.558642076999157,-3.07824557298557,0,7,-7,7,-7
0,13,-3.314886075133627,-3.797632304010884,0,7,-7,7,-7
0,14,-4.918621730375654,-4.313430330590865,0,7,-7,7,-7
0,15,-3.146597682193672,-3.8736706344443874,0,7,-7,7,-7
0,16,-4.8006955580475985,-3.0149400724952056,0,7,-7,7,-7
0,17,-4.0194799923420685,-4.59780805031872,0,7,-7,7,-7
0,18,-4.293746760181465,-4.8324132399333415,0,7,-7,7,-7
0,19,-4.526584718500264,-3.5829600230858505,0,7,-7,7,-7
0,20,-4.736771582146688,-2.605121752147305,0,7,-7,7,-7
0,21,-3.205076597248951,-2.726716693437565,0,7,-7,7,-7
0,22,-4.558642076999157,-1.0782455729855698,0,7,-7,7,-7
0,23,-3.314886075133627,-1.7976323040108844,0,7,-7,7,-7
0,24,-4.918621730375654,-2.3134303305908652,0,7,-7,7,-7
0,25,-3.146597682193672,-1.8736706344443872,0,7,-7,7,-7
0,26,-4.8006955580475985,-1.0149400724952053,0,7,-7,7,-7
0,27,-4.0194799923420685,-2.59780805031872,0,7,-7,7,-7
0,28,-4.293746760181465,-2.832413239933342,0,7,-7,7,-7
0,29,-4.526584718500264,-1.5829600230858505,0,7,-7,7,-7
0,30,-4.736771582146688,-0.6051217521473051,0,7,-7,7,-7
